"('Asphalt', 'A. No Damage')","('Asphalt', 'B. Affected (1-9%)')","('Asphalt', 'C. Minor (10-25%)')","('Asphalt', 'D. Major (26-50%)')","('Asphalt', 'E. Destroyed (>50%)')","('Combustible', 'A. No Damage')","('Combustible', 'B. Affected (1-9%)')","('Combustible', 'C. Minor (10-25%)')","('Combustible', 'D. Major (26-50%)')","('Combustible', 'E. Destroyed (>50%)')","('Concrete', 'A. No Damage')","('Concrete', 'B. Affected (1-9%)')","('Concrete', 'C. Minor (10-25%)')","('Concrete', 'D. Major (26-50%)')","('Concrete', 'E. Destroyed (>50%)')","('Fire Resistant', 'A. No Damage')","('Fire Resistant', 'B. Affected (1-9%)')","('Fire Resistant', 'C. Minor (10-25%)')","('Fire Resistant', 'D. Major (26-50%)')","('Fire Resistant', 'E. Destroyed (>50%)')","('Metal', 'A. No Damage')","('Metal', 'B. Affected (1-9%)')","('Metal', 'C. Minor (10-25%)')","('Metal', 'D. Major (26-50%)')","('Metal', 'E. Destroyed (>50%)')","('No Deck/Porch', 'A. No Damage')","('Non Combustible', 'E. Destroyed (>50%)')","('Other', 'A. No Damage')","('Other', 'B. Affected (1-9%)')","('Other', 'C. Minor (10-25%)')","('Other', 'D. Major (26-50%)')","('Other', 'E. Destroyed (>50%)')","('Tile', 'A. No Damage')","('Tile', 'B. Affected (1-9%)')","('Tile', 'C. Minor (10-25%)')","('Tile', 'D. Major (26-50%)')","('Tile', 'E. Destroyed (>50%)')","('Unknown', 'A. No Damage')","('Unknown', 'B. Affected (1-9%)')","('Unknown', 'C. Minor (10-25%)')","('Unknown', 'D. Major (26-50%)')","('Unknown', 'E. Destroyed (>50%)')","('Wood', 'A. No Damage')","('Wood', 'B. Affected (1-9%)')","('Wood', 'C. Minor (10-25%)')","('Wood', 'D. Major (26-50%)')","('Wood', 'E. Destroyed (>50%)')",A. Single Residence,B. Multiple Residence,C. Mixed Commercial/Residential,D. Nonresidential Commercial,E. Infrastructure,F. Agriculture,G. Other Minor Structure,Incident Name,Year,County,Total Economic Loss
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,County,2019,El Dorado,8536
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,Coyote,2023,San Diego,336138
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,Coyote ,2020,San Benito,225188
0,3,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,Cranston,2018,Riverside,2393469
0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,31,19,4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,104,0,0,6,0,0,64,Creek,2017,Los Angeles,79173387
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Creek,2018,Shasta,483232
24,17,3,5,267,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,34,22,9,5,464,0,0,1,0,0,1,3,2,0,0,0,7,1862,1,0,0,3,1,0,0,0,37,1778,9,139,111,44,0,693,Creek,2020,Fresno,297698136
0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,396,1,0,1,2,0,0,0,0,5,275,2,36,4,8,0,153,Creek,2020,Madera,33952960
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Creekside,2021,Shasta,338264
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Crews,2020,Santa Clara,1009068
2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,Deer,2024,Tehama,604465
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,18,0,0,0,0,0,25,Delta,2018,Shasta,2887010
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,Dersch ,2020,Shasta,78030
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,4,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,72,0,0,1,0,0,64,Detwiler,2017,Mariposa,14054684
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,Dixie,2021,Butte,591659
125,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,2,0,0,32,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,186,0,0,0,0,0,169,Dixie,2021,Lassen,51054682
478,12,4,3,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,30,8,2,765,0,0,20,1,0,1,20,0,0,0,0,4,0,0,0,0,8,24,0,0,0,25,1635,14,4,120,5,0,991,Dixie,2021,Plumas,443451655
16,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2,0,1,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,39,0,1,18,0,0,50,Dixie,2021,Tehama,27248409
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,Dorvel,2020,Shasta,737019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Dutcher,2021,Sonoma,164755
5947,622,118,51,6783,1,0,0,0,0,168,24,6,1,66,0,0,0,0,0,75,9,2,2,129,0,1,31,2,2,1,15,1321,154,17,7,833,90,18,1,0,1419,21,1,1,0,48,11767,311,10,292,27,0,5580,Eaton,2025,Los Angeles,4759546163
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,5,0,0,0,0,0,10,El Dorado,2020,San Bernardino,3322047
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,Emerald,2022,Orange,13798505
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,4,2,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,296,0,0,1,0,0,112,Erskine,2016,Kern,22073732
0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,Estate,2017,Solano,3089216
4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,10,0,0,0,17,0,10,FKU June Lightning,2024,Fresno,5323268
188,5,1,0,14,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,80,1,0,0,13,0,0,2,0,0,0,0,35,0,0,0,3,0,0,0,0,1,6,1,0,0,1,185,2,3,10,3,0,151,Fairview,2022,Riverside,58036067
322,15,2,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,6,0,1,87,0,0,15,0,0,0,1,7,1,0,0,1,0,0,0,0,0,3,0,0,0,0,406,1,0,6,0,0,304,Fawn,2021,Shasta,131499179
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fay,2017,Siskiyou,23662
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,Fiddletown,2022,Amador,742008
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,Flats,2021,Riverside,255885
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Flowers,2023,Shasta,28881
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,Foothill,2017,Lake,277812
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Ford,2023,Tuolumne,45497
41,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,80,0,0,6,0,0,47,Fork,2022,Madera,10578994
183,6,3,0,6,0,0,0,0,0,23,2,2,1,0,0,0,0,0,0,133,4,2,2,1,0,0,17,0,0,0,3,267,4,0,2,4,46,0,0,0,5,11,0,0,0,1,378,67,0,108,17,0,158,Franklin,2024,Los Angeles,2316653680
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Frazier,2018,Fresno,137860
128,1,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,44,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,162,0,0,1,1,0,41,French,2021,Kern,27314269
130,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,1,2,0,8,0,0,6,0,0,0,0,6,0,0,0,0,3,0,0,0,0,2,0,0,0,0,107,24,0,36,5,0,62,French,2024,Mariposa,40408232
0,10,0,2,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,3,0,0,4,Getty,2019,Los Angeles,243872168
867,57,10,1,382,0,0,0,0,0,31,3,1,1,2,0,0,0,0,0,444,32,3,1,422,0,0,51,6,0,0,12,166,18,3,1,34,37,2,2,0,16,30,3,0,1,23,1244,17,11,627,14,0,749,Glass,2020,Napa,22494223830
832,66,13,5,360,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,160,18,0,0,137,0,0,66,4,2,1,17,78,8,0,0,36,39,0,1,0,13,14,2,0,0,24,1111,78,6,79,7,0,623,Glass,2020,Sonoma,1606478179
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,8,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,2,0,1,0,0,20,0,1,0,0,0,10,Gold,2020,Lassen,6604236
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,5,Goose,2016,Fresno,554031
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,Grade,2016,Siskiyou,186211
1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Graham,2021,Tehama,664188
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Grant,2018,Contra Costa,106255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Grant,2020,Sacramento,47940
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Grant,2022,Sacramento,0
7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,1,Gray,2023,Stanislaus,5235680
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,Gulch,2024,Madera,1153240
4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,9,Happy Camp Complex,2023,Siskiyou,3934372
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Harney,2023,Tuolumne,209511
0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,2,3,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,69,0,0,0,0,0,20,Helena,2017,Trinity,11253031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hesperia,2023,Monterey,144391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,High,2019,Siskiyou,15000
26,3,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,7,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,19,Highland,2023,Riverside,7770404
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Hill,2017,San Luis Obispo,664343
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,Hill,2018,Ventura,522893
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,5,Hill,2024,Humboldt,536862
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Hog,2020,Lassen,76318
0,0,1,2,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,14,Holiday,2018,Santa Barbara,14973534
0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,1,0,0,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,15,0,0,2,2,0,10,Holy,2018,Riverside,10629239260
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Homestead,2020,Shasta,291828
21,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,18,0,0,0,0,0,1,0,1,3,0,0,2,0,0,0,0,2,0,0,0,0,0,51,0,0,3,0,0,21,Hopkins,2021,Mendocino,16946341
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Horse,2018,Calaveras,586091
3,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,Horseshoe,2024,Inyo,1633931
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,Hyatt,2018,Lassen,124875
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Intanko,2021,Yuba,236048
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Irish,2018,Amador,558262
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,John,2023,Calaveras,2093153
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,John 2,2023,Calaveras,1415265
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jones,2020,Napa,13591
12,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,29,0,0,1,0,0,4,Jones,2020,Nevada,11642411
3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,Junes,2024,Butte,540108
32,22,5,1,155,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,10,8,5,3,143,0,0,1,0,0,0,4,4,7,2,2,16,1026,1,0,0,0,0,1,1,0,16,1065,5,13,69,4,0,315,Kincade,2019,Sonoma,1996820225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,King,2023,Madera,92750
0,5,2,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,39,1,0,3,1,0,51,Klamathon,2018,Siskiyou,8407041
3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,10,LNU Lightning Cmplx,2020,Lake,5531468
91,28,8,3,225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,8,0,0,109,0,0,1,1,0,0,5,8,4,0,0,19,1007,1,0,0,22,2,1,0,0,6,1046,8,6,37,6,0,474,LNU Lightning Cmplx,2020,Napa,915435728
69,36,6,2,323,0,0,0,0,0,1,1,0,1,6,0,0,0,0,0,45,25,12,10,204,0,0,2,1,0,0,8,20,24,1,1,84,1176,5,0,0,9,2,0,0,0,30,993,3,3,27,16,0,1062,LNU Lightning Cmplx,2020,Solano,868259444
8,8,0,0,139,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,5,5,2,0,99,0,0,0,0,1,0,3,1,0,0,0,9,472,0,0,0,4,0,0,1,0,11,398,2,2,3,4,0,363,LNU Lightning Cmplx,2020,Sonoma,303453326
0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,1,0,0,0,0,0,60,0,1,3,0,0,73,LNU Lightning Cmplx,2020,Yolo,48074773
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Lake,2020,Humboldt,50861
0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,17,0,1,0,0,0,12,0,0,0,0,0,20,Lake,2020,Los Angeles,2981307
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,29,0,0,1,0,0,13,Laporte,2017,Butte,3305473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Laporte,2017,Yuba,30969
9,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,38,0,0,0,0,0,29,Laura 2,2020,Lassen,4432227
4,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,12,Lava,2021,Siskiyou,2235756
0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,14,0,0,0,0,0,18,Laverne,2017,Shasta,2741991
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Leonard,2023,Calaveras,248000
4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,Liberty,2024,San Joaquin,4318723
0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,32,23,4,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,168,0,0,2,0,0,51,Lilac,2017,San Diego,1254856838
146,0,1,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,5,0,0,1,1,147,1,0,0,0,3,0,0,0,0,1,0,0,0,0,270,1,14,13,18,0,24,Line,2024,San Bernardino,156487621
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,25,0,0,0,0,0,20,Lobo,2017,Nevada,6399342
0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,16,Loma,2016,Santa Clara,814688
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Long,2023,Fresno,30898
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,Lower,2024,Shasta,2292866
0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,Mallard,2021,Shasta,232386
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,Maria,2019,Ventura,1061756
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Marsh,2018,Contra Costa,434933
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Marshall,2022,El Dorado,97696
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,McCourtney,2017,Nevada,2336545
